realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,1989-10-01,3105.1
2023-04-30,2023-04-30,1989-11-01,3135.7
2023-04-30,2023-04-30,1989-12-01,3159.2
2023-04-30,2023-04-30,1990-01-01,3173.2
2023-04-30,2023-04-30,1990-02-01,3169.2
2023-04-30,2023-04-30,1990-03-01,3189.9
2023-04-30,2023-04-30,1990-04-01,3216.7
2023-04-30,2023-04-30,1990-05-01,3186.2
2023-04-30,2023-04-30,1990-06-01,3209.1
2023-04-30,2023-04-30,1990-07-01,3222.3
2023-04-30,2023-04-30,1990-08-01,3238.6
2023-04-30,2023-04-30,1990-09-01,3249.3
2023-04-30,2023-04-30,1990-10-01,3251.8
2023-04-30,2023-04-30,1990-11-01,3265.1
2023-04-30,2023-04-30,1990-12-01,3281.7
2023-04-30,2023-04-30,1991-01-01,3291.2
2023-04-30,2023-04-30,1991-02-01,3293.7
2023-04-30,2023-04-30,1991-03-01,3322.2
2023-04-30,2023-04-30,1991-04-01,3348.0
2023-04-30,2023-04-30,1991-05-01,3329.7
2023-04-30,2023-04-30,1991-06-01,3348.8
2023-04-30,2023-04-30,1991-07-01,3353.3
2023-04-30,2023-04-30,1991-08-01,3352.3
2023-04-30,2023-04-30,1991-09-01,3346.6
2023-04-30,2023-04-30,1991-10-01,3355.0
2023-04-30,2023-04-30,1991-11-01,3367.8
2023-04-30,2023-04-30,1991-12-01,3384.6
2023-04-30,2023-04-30,1992-01-01,3385.9
2023-04-30,2023-04-30,1992-02-01,3387.2
2023-04-30,2023-04-30,1992-03-01,3401.8
2023-04-30,2023-04-30,1992-04-01,3423.4
2023-04-30,2023-04-30,1992-05-01,3388.2
2023-04-30,2023-04-30,1992-06-01,3387.5
2023-04-30,2023-04-30,1992-07-01,3394.9
2023-04-30,2023-04-30,1992-08-01,3394.6
2023-04-30,2023-04-30,1992-09-01,3402.1
2023-04-30,2023-04-30,1992-10-01,3417.2
2023-04-30,2023-04-30,1992-11-01,3430.9
2023-04-30,2023-04-30,1992-12-01,3441.3
2023-04-30,2023-04-30,1993-01-01,3434.3
2023-04-30,2023-04-30,1993-02-01,3398.6
2023-04-30,2023-04-30,1993-03-01,3407.4
2023-04-30,2023-04-30,1993-04-01,3433.1
2023-04-30,2023-04-30,1993-05-01,3422.3
2023-04-30,2023-04-30,1993-06-01,3440.6
2023-04-30,2023-04-30,1993-07-01,3444.1
2023-04-30,2023-04-30,1993-08-01,3439.0
2023-04-30,2023-04-30,1993-09-01,3445.2
2023-04-30,2023-04-30,1993-10-01,3451.8
2023-04-30,2023-04-30,1993-11-01,3469.2
2023-04-30,2023-04-30,1993-12-01,3494.7
2023-04-30,2023-04-30,1994-01-01,3481.8
2023-04-30,2023-04-30,1994-02-01,3459.7
2023-04-30,2023-04-30,1994-03-01,3477.0
2023-04-30,2023-04-30,1994-04-01,3507.2
2023-04-30,2023-04-30,1994-05-01,3472.8
2023-04-30,2023-04-30,1994-06-01,3478.9
2023-04-30,2023-04-30,1994-07-01,3492.2
2023-04-30,2023-04-30,1994-08-01,3481.5
2023-04-30,2023-04-30,1994-09-01,3479.4
2023-04-30,2023-04-30,1994-10-01,3475.4
2023-04-30,2023-04-30,1994-11-01,3492.0
2023-04-30,2023-04-30,1994-12-01,3506.9
2023-04-30,2023-04-30,1995-01-01,3497.4
2023-04-30,2023-04-30,1995-02-01,3474.7
2023-04-30,2023-04-30,1995-03-01,3491.2
2023-04-30,2023-04-30,1995-04-01,3525.2
2023-04-30,2023-04-30,1995-05-01,3502.6
2023-04-30,2023-04-30,1995-06-01,3544.8
2023-04-30,2023-04-30,1995-07-01,3566.2
2023-04-30,2023-04-30,1995-08-01,3585.9
2023-04-30,2023-04-30,1995-09-01,3596.4
2023-04-30,2023-04-30,1995-10-01,3598.3
2023-04-30,2023-04-30,1995-11-01,3622.8
2023-04-30,2023-04-30,1995-12-01,3648.2
2023-04-30,2023-04-30,1996-01-01,3654.7
2023-04-30,2023-04-30,1996-02-01,3644.8
2023-04-30,2023-04-30,1996-03-01,3689.1
2023-04-30,2023-04-30,1996-04-01,3717.5
2023-04-30,2023-04-30,1996-05-01,3689.2
2023-04-30,2023-04-30,1996-06-01,3720.1
2023-04-30,2023-04-30,1996-07-01,3730.1
2023-04-30,2023-04-30,1996-08-01,3742.8
2023-04-30,2023-04-30,1996-09-01,3742.0
2023-04-30,2023-04-30,1996-10-01,3759.4
2023-04-30,2023-04-30,1996-11-01,3790.3
2023-04-30,2023-04-30,1996-12-01,3834.8
2023-04-30,2023-04-30,1997-01-01,3845.2
2023-04-30,2023-04-30,1997-02-01,3831.6
2023-04-30,2023-04-30,1997-03-01,3868.2
2023-04-30,2023-04-30,1997-04-01,3910.4
2023-04-30,2023-04-30,1997-05-01,3866.5
2023-04-30,2023-04-30,1997-06-01,3896.0
2023-04-30,2023-04-30,1997-07-01,3919.5
2023-04-30,2023-04-30,1997-08-01,3948.2
2023-04-30,2023-04-30,1997-09-01,3960.0
2023-04-30,2023-04-30,1997-10-01,3977.7
2023-04-30,2023-04-30,1997-11-01,4006.9
2023-04-30,2023-04-30,1997-12-01,4049.3
2023-04-30,2023-04-30,1998-01-01,4069.0
2023-04-30,2023-04-30,1998-02-01,4069.5
2023-04-30,2023-04-30,1998-03-01,4124.7
2023-04-30,2023-04-30,1998-04-01,4182.0
2023-04-30,2023-04-30,1998-05-01,4138.8
2023-04-30,2023-04-30,1998-06-01,4169.4
2023-04-30,2023-04-30,1998-07-01,4195.4
2023-04-30,2023-04-30,1998-08-01,4216.0
2023-04-30,2023-04-30,1998-09-01,4255.1
2023-04-30,2023-04-30,1998-10-01,4287.4
2023-04-30,2023-04-30,1998-11-01,4338.6
2023-04-30,2023-04-30,1998-12-01,4397.8
2023-04-30,2023-04-30,1999-01-01,4416.9
2023-04-30,2023-04-30,1999-02-01,4410.5
2023-04-30,2023-04-30,1999-03-01,4447.8
2023-04-30,2023-04-30,1999-04-01,4510.3
2023-04-30,2023-04-30,1999-05-01,4459.8
2023-04-30,2023-04-30,1999-06-01,4495.0
2023-04-30,2023-04-30,1999-07-01,4519.2
2023-04-30,2023-04-30,1999-08-01,4534.8
2023-04-30,2023-04-30,1999-09-01,4555.2
2023-04-30,2023-04-30,1999-10-01,4571.5
2023-04-30,2023-04-30,1999-11-01,4602.6
2023-04-30,2023-04-30,1999-12-01,4660.1
2023-04-30,2023-04-30,2000-01-01,4674.3
2023-04-30,2023-04-30,2000-02-01,4673.7
2023-04-30,2023-04-30,2000-03-01,4731.3
2023-04-30,2023-04-30,2000-04-01,4814.5
2023-04-30,2023-04-30,2000-05-01,4731.8
2023-04-30,2023-04-30,2000-06-01,4759.5
2023-04-30,2023-04-30,2000-07-01,4770.1
2023-04-30,2023-04-30,2000-08-01,4805.2
2023-04-30,2023-04-30,2000-09-01,4838.8
2023-04-30,2023-04-30,2000-10-01,4848.8
2023-04-30,2023-04-30,2000-11-01,4881.5
2023-04-30,2023-04-30,2000-12-01,4939.1
2023-04-30,2023-04-30,2001-01-01,4981.0
2023-04-30,2023-04-30,2001-02-01,5002.1
2023-04-30,2023-04-30,2001-03-01,5089.1
2023-04-30,2023-04-30,2001-04-01,5167.1
2023-04-30,2023-04-30,2001-05-01,5109.2
2023-04-30,2023-04-30,2001-06-01,5159.5
2023-04-30,2023-04-30,2001-07-01,5182.8
2023-04-30,2023-04-30,2001-08-01,5224.3
2023-04-30,2023-04-30,2001-09-01,5330.2
2023-04-30,2023-04-30,2001-10-01,5316.2
2023-04-30,2023-04-30,2001-11-01,5379.6
2023-04-30,2023-04-30,2001-12-01,5456.8
2023-04-30,2023-04-30,2002-01-01,5455.3
2023-04-30,2023-04-30,2002-02-01,5464.2
2023-04-30,2023-04-30,2002-03-01,5512.1
2023-04-30,2023-04-30,2002-04-01,5533.8
2023-04-30,2023-04-30,2002-05-01,5499.0
2023-04-30,2023-04-30,2002-06-01,5534.2
2023-04-30,2023-04-30,2002-07-01,5569.5
2023-04-30,2023-04-30,2002-08-01,5620.3
2023-04-30,2023-04-30,2002-09-01,5642.5
2023-04-30,2023-04-30,2002-10-01,5684.4
2023-04-30,2023-04-30,2002-11-01,5747.3
2023-04-30,2023-04-30,2002-12-01,5799.7
2023-04-30,2023-04-30,2003-01-01,5800.7
2023-04-30,2023-04-30,2003-02-01,5811.2
2023-04-30,2023-04-30,2003-03-01,5874.6
2023-04-30,2023-04-30,2003-04-01,5940.1
2023-04-30,2023-04-30,2003-05-01,5935.9
2023-04-30,2023-04-30,2003-06-01,5985.2
2023-04-30,2023-04-30,2003-07-01,6034.7
2023-04-30,2023-04-30,2003-08-01,6091.6
2023-04-30,2023-04-30,2003-09-01,6065.0
2023-04-30,2023-04-30,2003-10-01,6051.5
2023-04-30,2023-04-30,2003-11-01,6068.8
2023-04-30,2023-04-30,2003-12-01,6095.9
2023-04-30,2023-04-30,2004-01-01,6067.8
2023-04-30,2023-04-30,2004-02-01,6073.9
2023-04-30,2023-04-30,2004-03-01,6155.6
2023-04-30,2023-04-30,2004-04-01,6239.9
2023-04-30,2023-04-30,2004-05-01,6242.9
2023-04-30,2023-04-30,2004-06-01,6273.7
2023-04-30,2023-04-30,2004-07-01,6280.6
2023-04-30,2023-04-30,2004-08-01,6294.9
2023-04-30,2023-04-30,2004-09-01,6337.2
2023-04-30,2023-04-30,2004-10-01,6351.5
2023-04-30,2023-04-30,2004-11-01,6395.2
2023-04-30,2023-04-30,2004-12-01,6448.5
2023-04-30,2023-04-30,2005-01-01,6407.2
2023-04-30,2023-04-30,2005-02-01,6405.7
2023-04-30,2023-04-30,2005-03-01,6464.0
2023-04-30,2023-04-30,2005-04-01,6518.5
2023-04-30,2023-04-30,2005-05-01,6454.2
2023-04-30,2023-04-30,2005-06-01,6513.8
2023-04-30,2023-04-30,2005-07-01,6528.9
2023-04-30,2023-04-30,2005-08-01,6548.8
2023-04-30,2023-04-30,2005-09-01,6589.3
2023-04-30,2023-04-30,2005-10-01,6608.7
2023-04-30,2023-04-30,2005-11-01,6656.2
2023-04-30,2023-04-30,2005-12-01,6702.5
2023-04-30,2023-04-30,2006-01-01,6710.0
2023-04-30,2023-04-30,2006-02-01,6720.8
2023-04-30,2023-04-30,2006-03-01,6794.6
2023-04-30,2023-04-30,2006-04-01,6870.1
2023-04-30,2023-04-30,2006-05-01,6793.8
2023-04-30,2023-04-30,2006-06-01,6851.8
2023-04-30,2023-04-30,2006-07-01,6869.4
2023-04-30,2023-04-30,2006-08-01,6893.0
2023-04-30,2023-04-30,2006-09-01,6920.1
2023-04-30,2023-04-30,2006-10-01,6952.4
2023-04-30,2023-04-30,2006-11-01,7024.3
2023-04-30,2023-04-30,2006-12-01,7086.2
2023-04-30,2023-04-30,2007-01-01,7104.9
2023-04-30,2023-04-30,2007-02-01,7105.5
2023-04-30,2023-04-30,2007-03-01,7193.7
2023-04-30,2023-04-30,2007-04-01,7289.7
2023-04-30,2023-04-30,2007-05-01,7240.6
2023-04-30,2023-04-30,2007-06-01,7282.9
2023-04-30,2023-04-30,2007-07-01,7285.1
2023-04-30,2023-04-30,2007-08-01,7345.0
2023-04-30,2023-04-30,2007-09-01,7372.6
2023-04-30,2023-04-30,2007-10-01,7371.2
2023-04-30,2023-04-30,2007-11-01,7432.4
2023-04-30,2023-04-30,2007-12-01,7496.6
2023-04-30,2023-04-30,2008-01-01,7503.2
2023-04-30,2023-04-30,2008-02-01,7571.7
2023-04-30,2023-04-30,2008-03-01,7707.0
2023-04-30,2023-04-30,2008-04-01,7775.9
2023-04-30,2023-04-30,2008-05-01,7703.7
2023-04-30,2023-04-30,2008-06-01,7729.5
2023-04-30,2023-04-30,2008-07-01,7748.4
2023-04-30,2023-04-30,2008-08-01,7744.8
2023-04-30,2023-04-30,2008-09-01,7796.8
2023-04-30,2023-04-30,2008-10-01,7923.0
2023-04-30,2023-04-30,2008-11-01,7983.5
2023-04-30,2023-04-30,2008-12-01,8200.9
2023-04-30,2023-04-30,2009-01-01,8285.3
2023-04-30,2023-04-30,2009-02-01,8286.9
2023-04-30,2023-04-30,2009-03-01,8427.3
2023-04-30,2023-04-30,2009-04-01,8449.7
2023-04-30,2023-04-30,2009-05-01,8422.3
2023-04-30,2023-04-30,2009-06-01,8439.7
